left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.2713139766763024,0.23329930490167494,0.3296070232127012,0.21759402546336148,0.19843931553294936,0.2962600594963243,0.20090571270332291,0.3117518816851982,0.25913307562721033,0.29203679963863516,0.18690548368899895,0.29753035286106644,0.2955658911306551,0.3308891733363053,0.31194657283021976,0.3000245918360238,0.31542618219433183,0.2028576847206025,0.34328785971971165,0.2288548813111535
aci,0.20814791419901735,0.20176828168359706,0.18361455011469996,0.20740079847482829,0.20034248761112627,0.20076250408830942,0.20079650349779155,0.22292011322027616,0.1921479545419903,0.24315588913177666,0.19710345901608828,0.23509868064704453,0.2694624111069558,0.2232211474282817,0.21231816472169263,0.22004667335243122,0.21838502829928186,0.27582170797136696,0.20127591095249953,0.2288955044847436
acn,0.23824141205872895,0.238883771989701,0.22020033567149888,0.24298108732025536,0.28023440028771973,0.23840047308357637,0.2234070739887234,0.23579083467113116,0.22928295551933142,0.2142172252600374,0.22071117768292214,0.22102407224863962,0.2178288521364905,0.20304946768434617,0.2489773591565051,0.25964514517545223,0.1951704196530154,0.2151046170485642,0.23510352076166474,0.24343841386289078
aco,0.2940904654496289,0.2242725342297398,0.23787457440014192,0.25504949998709714,0.26278269450905256,0.2975012015848212,0.2843856644406234,0.3222969788146737,0.25930243384601837,0.25478121245703633,0.2352052666563239,0.2517194110049261,0.24100993814509664,0.2548177413880739,0.2513683851908639,0.24306972379695846,0.32385596072766965,0.2278564588122508,0.27885636311792594,0.3185529567739771
acu,0.32562008101523243,0.4000202058996549,0.2852198419684834,0.35667308406312626,0.3197162083720173,0.3622897378405552,0.19737938738041083,0.25768848812193934,0.23220820286596333,0.2249716161573051,0.3703063110214282,0.2372927162602676,0.32240778741132814,0.2948864462790943,0.32042825020827304,0.29963183474367305,0.29031499842214514,0.3572242269232726,0.253677786699154,0.22287191452952537
acw,0.2745999497330198,0.3908719872293134,0.3065629075952485,0.3283017064172975,0.37736766534630495,0.3544324833858532,0.29401366005189256,0.2692672241432772,0.25479265961140984,0.3108520844275269,0.3617295500716642,0.2179097850898476,0.20348314607542628,0.3286207721846106,0.27969241120990973,0.2360732079500839,0.2209721733179557,0.30809089474763784,0.20525528330976728,0.20679343487447444
adt,0.3172837141424756,0.3884379088555643,0.36007747432556914,0.3892103668142728,0.2196273812970715,0.23802552430911816,0.4551864674908592,0.20081701489688342,0.2390007982449982,0.2558787035290786,0.27468759950059274,0.3387531840517688,0.2933070924350998,0.4632045587179541,0.19944228881322879,0.29907618218978405,0.414367428474091,0.43502305479346726,0.4837422938412832,0.2112357632790267
aei,0.16692084895523596,0.24679856015727986,0.25770941491613497,0.14939443917041062,0.1757028402964944,0.28818770130829807,0.24675917419568183,0.26982279161771083,0.2677135773172741,0.28292514259057056,0.21377966728279163,0.25032478581315787,0.2655751154970347,0.24788434365133472,0.27500977544172156,0.211120733517554,0.21186734227972404,0.30210077020584447,0.2928659087798158,0.24524669556732115
aej,0.27159509837394324,0.3350297591850673,0.29121514394965975,0.25959051103220654,0.2725057689394804,0.2938390710685381,0.31461284347815344,0.2919537975509968,0.23628738491767287,0.23891713784164337,0.2848327045511455,0.3078546066441652,0.26591333445891363,0.2790505126587899,0.3079235327908705,0.25411345507955574,0.32212116212225905,0.20162636796725486,0.3059088925749649,0.31046940467126594
aem,0.40669592449129466,0.2722385684949268,0.42221600481847843,0.32726436112448454,0.3747801099518412,0.3208381741558278,0.3900213724292183,0.18628484946313428,0.18696677244617121,0.2168170643775651,0.4072886124051114,0.25670619934950445,0.22042408847247497,0.21525234612533972,0.4212866733706304,0.4122098672726897,0.30272457598233893,0.3317462417206536,0.3422159209672695,0.4178375323626824
aes,0.28266173023320396,0.24489580501628383,0.2129905654129336,0.23293231445113105,0.2742913142210889,0.229972600506119,0.22743623955275516,0.278698456975081,0.2599295682553575,0.2773568224153349,0.24949571674248405,0.2275789765500268,0.2628730396303609,0.25385055418628855,0.2119815976244499,0.2655523700044362,0.2483157649305081,0.3434146078158917,0.2485148783669574,0.229992455578799
afd,0.21975352979196972,0.2110551037203473,0.24701761517178156,0.31575745805463684,0.3538540414482392,0.3030029089538091,0.1950678341834471,0.23149339145995862,0.18305257668707864,0.3302868421687625,0.26809251093696385,0.3679108412275387,0.20319349860689417,0.2985750424010176,0.2295054056089525,0.26675766279250845,0.19961516889203457,0.3468108894369619,0.24197173613903344,0.26918610440454904
