left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.16943696,0.121449694,0.19726197,0.10759376,0.086306974,0.10781819,0.106925935,0.21600884,0.16080244,0.11932296,0.1029143,0.07734254,0.19618401,0.24231736,0.2319471,0.13596046,0.1791099,0.075289145,0.22977868,0.12297848
aci,0.1264942,0.11694248,0.15348056,0.09489855,0.050457872,0.072395205,0.10626454,0.05080063,0.051042303,0.16496348,0.097766966,0.13202018,0.14006284,0.10617647,0.062414,0.10677875,0.075496376,0.11822468,0.08214811,0.0964136
acn,0.07374377,0.08845006,0.06496375,0.114631146,0.09069994,0.10506029,0.06754545,0.11810094,0.06025076,0.085820004,0.09791289,0.06827376,0.078321226,0.0734485,0.12031923,0.11896579,0.062287025,0.11125673,0.10381138,0.096285194
aco,0.22662283,0.11043183,0.10782469,0.16838904,0.17758232,0.19622263,0.14513533,0.1927113,0.11280287,0.1650407,0.14772631,0.06917811,0.17334546,0.1343373,0.11387257,0.083135225,0.19207896,0.13663544,0.15714209,0.115187585
acu,0.19453408,0.3060814,0.16310629,0.24313173,0.21359745,0.24379162,0.08439751,0.10147898,0.10887201,0.065801986,0.1758273,0.10771124,0.2610523,0.15801576,0.13654765,0.12886263,0.10728305,0.19072752,0.10508759,0.12885821
acw,0.121607065,0.31337273,0.255036,0.25307524,0.21622969,0.21805081,0.21354787,0.1139989,0.07554713,0.22381267,0.26806837,0.08155658,0.081838615,0.1992685,0.10206688,0.11029596,0.06411141,0.21301797,0.1143575,0.07142675
adt,0.13082589,0.3354766,0.20335253,0.23755974,0.133355,0.10985466,0.2850454,0.05675912,0.094671346,0.12488666,0.15121326,0.27739123,0.15633686,0.26845306,0.16154467,0.17436475,0.28932297,0.26379332,0.32384536,0.123194315
aei,0.038521215,0.12943932,0.10539194,0.071834914,0.067677595,0.16869509,0.14765477,0.18799819,0.14217336,0.12749583,0.113295704,0.12996177,0.17280671,0.17853713,0.23540202,0.12834433,0.1610164,0.20268303,0.17097151,0.0899682
aej,0.13617659,0.15789974,0.11707422,0.062832914,0.09698325,0.07161391,0.11571892,0.11846851,0.055198334,0.07503535,0.13016304,0.1111619,0.124779895,0.13153878,0.12031645,0.09149529,0.14957367,0.037946604,0.13213396,0.10905161
aem,0.28180456,0.12251697,0.2753661,0.13976051,0.25061423,0.103925206,0.30214232,0.025058042,0.034037516,0.039138168,0.19085927,0.06419116,0.035404876,0.041641466,0.1729176,0.27430376,0.115340985,0.15586007,0.12333216,0.26546347
aes,0.1007698,0.06912953,0.04978039,0.10428855,0.06911375,0.05266417,0.06475423,0.10739978,0.11482037,0.09051153,0.08315933,0.06533875,0.060017243,0.050183322,0.060246512,0.10088468,0.055976573,0.11378426,0.10091969,0.06420416
afd,0.06491533,0.0858909,0.17310023,0.2636276,0.2848553,0.21429238,0.10958386,0.12507755,0.1260353,0.23080587,0.14187269,0.4539176,0.2350083,0.20237511,0.24188937,0.26054865,0.13916823,0.28919908,0.1313437,0.17510793
afl,0.23145983,0.10985869,0.19474392,0.06153927,0.21476264,0.14439724,0.23138514,0.31391022,0.41942942,0.2842322,0.30549458,0.11054993,0.3997682,0.4031986,0.1851548,0.13961914,0.1325717,0.43331575,0.13893676,0.4812323
agb,0.13012315,0.3682676,0.17138414,0.12537453,0.1015102,0.07543548,0.2968011,0.105010405,0.2924065,0.13222437,0.23244172,0.13546386,0.12819907,0.32083824,0.08131838,0.24857059,0.19125445,0.32759038,0.23803529,0.120651156
agl,0.11468972,0.09703627,0.15229395,0.19794035,0.20496474,0.10174401,0.15249394,0.10134268,0.096876755,0.22714247,0.11050737,0.11758779,0.07701875,0.10096647,0.0943602,0.15091012,0.08624065,0.08836148,0.11168574,0.13075489
ahg,0.040322207,0.2424653,0.067845464,0.2804047,0.04321847,0.06747872,0.04762062,0.1832651,0.03604097,0.100503996,0.13402067,0.0791,0.059138205,0.20050876,0.0751497,0.20133156,0.23714513,0.22556272,0.071798384,0.12931621
ahr,0.07236248,0.060742125,0.10769447,0.046444517,0.34658575,0.12948813,0.063437365,0.044112604,0.118629135,0.04230744,0.072056666,0.0838387,0.3411516,0.22641857,0.090469144,0.24098836,0.06615419,0.035747655,0.17040806,0.06698893
aik,0.06714037,0.19439927,0.07733974,0.24050368,0.20686407,0.10408515,0.27652234,0.0474089,0.07846678,0.0755123,0.11125937,0.120596856,0.17292628,0.08200999,0.16129994,0.23601243,0.12571499,0.16068652,0.0846596,0.095440775
aiv,0.037917607,0.12555219,0.058671236,0.07756949,0.048553783,0.030969955,0.044114035,0.05486796,0.08438642,0.054327115,0.09458082,0.059030663,0.11245184,0.070660636,0.061171416,0.076982856,0.09434195,0.07462549,0.07387151,0.030913355
ajf,0.24946982,0.3597482,0.36917993,0.19645812,0.18882586,0.12637651,0.30779925,0.18003264,0.121396735,0.17356247,0.32056552,0.16471364,0.09488964,0.17033897,0.054929048,0.081451744,0.26895425,0.34818715,0.103817195,0.085132495
ajk,0.18879214,0.34047148,0.15147059,0.15376534,0.16162443,0.34129304,0.2489511,0.13596061,0.12935928,0.0754939,0.17140296,0.068082005,0.15108046,0.15631029,0.20685461,0.2638916,0.15749489,0.44706035,0.075523525,0.22290261
aka,0.06718934,0.058931388,0.108544186,0.058900572,0.20048688,0.16684626,0.18021004,0.25315344,0.111044794,0.23185293,0.25541556,0.04205274,0.0571422,0.10949002,0.03395288,0.063194856,0.08255553,0.04139583,0.16430114,0.1659193
akg,0.02477773,0.3350389,0.06455722,0.35612524,0.20311992,0.24796861,0.03161467,0.36679783,0.030013114,0.020474313,0.21989377,0.12455932,0.5097313,0.19498721,0.19124639,0.46309018,0.14265892,0.15991433,0.33334273,0.060139958
alc,0.050371252,0.32764825,0.083641715,0.16407172,0.15020771,0.16706857,0.065670714,0.26386705,0.08599344,0.048417583,0.27311337,0.2831322,0.2703686,0.30990815,0.26352683,0.1496548,0.28789097,0.104525015,0.18855134,0.31175235
ali,0.08097774,0.34896988,0.40283966,0.17184322,0.08414993,0.092328794,0.26335374,0.18185318,0.18846223,0.095482334,0.10240394,0.12815008,0.06466,0.14232135,0.23901159,0.31026626,0.30943555,0.2355545,0.24331897,0.14425555
alt,0.05918324,0.12934172,0.09100734,0.35032737,0.40073115,0.13303807,0.027140696,0.21020326,0.09097678,0.3074767,0.049993742,0.41795403,0.2940127,0.040334374,0.23798573,0.21285956,0.08440198,0.36132926,0.2643147,0.42685938
alx,0.15107943,0.12273459,0.09869121,0.11503342,0.088228494,0.087181166,0.06427467,0.20426182,0.29537022,0.113689385,0.24177046,0.082235746,0.15082352,0.40662053,0.2518039,0.17663357,0.0438354,0.3043417,0.17668754,0.13153595
aly,0.16885781,0.10680209,0.17130806,0.057747543,0.08977744,0.16784999,0.20251818,0.022382073,0.119258694,0.10885695,0.13363767,0.10153559,0.022053408,0.14133613,0.14744872,0.1581994,0.10040125,0.09207067,0.17481025,0.041545175
ama,0.122187465,0.15145585,0.1363131,0.27718163,0.20471123,0.15252472,0.12161763,0.18724887,0.2116945,0.19090421,0.10540964,0.11399563,0.08565589,0.12631111,0.0631181,0.2137067,0.13372217,0.1180926,0.17007521,0.18136996
amb,0.08619425,0.110721976,0.112221524,0.100202575,0.21853238,0.32406083,0.1019038,0.10346011,0.07829916,0.07060611,0.20149249,0.10612665,0.14145721,0.09847855,0.11562651,0.09399967,0.16563423,0.14383844,0.09261435,0.10690957
amd,0.15082777,0.1452538,0.14082459,0.102127254,0.048821013,0.079411566,0.041011725,0.083135396,0.085764185,0.055869244,0.055176847,0.08997672,0.116631016,0.265131,0.07133254,0.066541806,0.074170664,0.09499888,0.07688755,0.082809664
amg,0.07121239,0.11983045,0.13477086,0.18396248,0.06864098,0.28878978,0.15703967,0.2871007,0.21866778,0.112312324,0.15669262,0.06678039,0.15042427,0.15175349,0.13761094,0.21866167,0.09022422,0.106309816,0.114247456,0.15806994
amh,0.10550233,0.11884937,0.09790425,0.15788874,0.0772853,0.059917912,0.08955957,0.047430344,0.1269085,0.113478005,0.05960115,0.08855982,0.063348494,0.14040315,0.14461386,0.16750604,0.17575184,0.054333773,0.15782487,0.0679511
amn,0.082534,0.09833579,0.13061649,0.095434174,0.08841759,0.074890874,0.17531995,0.11389205,0.13002422,0.07751372,0.105920345,0.2096524,0.12315901,0.18229814,0.062024064,0.18620665,0.066695526,0.1325313,0.1148313,0.122799836
amq,0.10546753,0.072902635,0.12639935,0.08077169,0.083916605,0.10555723,0.096033104,0.060958024,0.08954505,0.14545885,0.063499145,0.08394082,0.08547485,0.04982328,0.12686053,0.15913002,0.09503188,0.09724137,0.13289802,0.04876367
aop,0.107586235,0.13892332,0.05776327,0.13826165,0.14812553,0.44510502,0.20365693,0.16723683,0.087647565,0.20004901,0.24100535,0.16767979,0.16517514,0.09733543,0.15297052,0.14396581,0.2778378,0.27435485,0.14718191,0.1290611
aoq,0.2404601,0.14764301,0.08885199,0.11314252,0.07884312,0.19627741,0.07913187,0.032392863,0.085409485,0.33495036,0.12760821,0.4086859,0.15418749,0.086069204,0.126353,0.14990634,0.14417468,0.24950549,0.091580406,0.04735104
aoy,0.05493579,0.28824505,0.23904407,0.48530495,0.24641287,0.45419532,0.06803722,0.17196046,0.2866405,0.14460656,0.4136555,0.4228176,0.057467096,0.30096886,0.24436864,0.3936513,0.20092872,0.1458649,0.24975699,0.17630343
app,0.09888911,0.09600623,0.1262066,0.31517482,0.0604017,0.45721728,0.070595086,0.11842836,0.18775499,0.09757781,0.06420753,0.14849356,0.1894764,0.12526068,0.09526244,0.09939606,0.1952504,0.05896741,0.055469446,0.13710022
apx,0.124113224,0.06888619,0.038854126,0.01380091,0.023535587,0.06877189,0.12975807,0.05745974,0.055415396,0.07593314,0.092671245,0.075027004,0.026364312,0.019054344,0.12534541,0.14126246,0.08704175,0.008198265,0.19367537,0.12894906
aqd,0.06433792,0.09621311,0.08814827,0.14893037,0.07370199,0.20215096,0.08784973,0.32305628,0.078007385,0.14616683,0.3652594,0.07498373,0.13902958,0.1674361,0.1252587,0.20293778,0.11109398,0.07230685,0.13312754,0.2052648
aqt,0.09025964,0.048933066,0.13204235,0.10199867,0.176183,0.14741263,0.10643849,0.1113247,0.17259046,0.08371341,0.09314892,0.09930289,0.08064633,0.08798324,0.085073456,0.09589644,0.090201244,0.108026065,0.04196576,0.12286478
ara,0.09213059,0.040458012,0.11177478,0.10192811,0.11095461,0.17148203,0.10299575,0.10736229,0.06526993,0.10229944,0.17470017,0.14246126,0.102395296,0.110321924,0.12394668,0.13738933,0.097513825,0.073946565,0.1594707,0.1035753
arq,0.10360711,0.13483375,0.13551058,0.09649489,0.11013704,0.06122712,0.12011628,0.11689593,0.10669924,0.13384786,0.102289274,0.06494496,0.108982146,0.11418442,0.101858824,0.19975999,0.1410945,0.072655246,0.08742998,0.09379804
aru,0.10361716,0.2975865,0.22248551,0.08285603,0.1629495,0.1005452,0.17775774,0.15389179,0.18633999,0.31696403,0.09325637,0.2538666,0.2859924,0.24984072,0.30907196,0.30727273,0.055303387,0.20674148,0.09228886,0.14175704
asf,0.09034261,0.105787426,0.099110596,0.09596386,0.14011502,0.0365412,0.07796876,0.097825244,0.08785505,0.12072164,0.073558055,0.07660476,0.12037919,0.053619422,0.10879761,0.07278055,0.116288304,0.09673777,0.12357187,0.06682718
ass,0.28106508,0.05701281,0.071223475,0.085874036,0.19511175,0.5233326,0.1690032,0.18920493,0.087843515,0.37309182,0.09437347,0.1783809,0.29514518,0.34108716,0.35370576,0.26171827,0.1926219,0.10416566,0.32119688,0.3172008
ate,0.1543492,0.10960315,0.10869214,0.12850282,0.12715453,0.096927166,0.14752173,0.09176094,0.11660555,0.093570545,0.0824922,0.09497376,0.10270849,0.23742223,0.07560132,0.25853392,0.13504007,0.20652105,0.057981737,0.09082808
atf,0.1340501,0.11321583,0.18899715,0.24527426,0.09077646,0.23486787,0.06603406,0.2046932,0.16538343,0.09122154,0.12243576,0.07703979,0.07136523,0.18325156,0.11314964,0.087736994,0.19513676,0.121718556,0.46377185,0.1755695
atj,0.3211433,0.13207433,0.17023768,0.21193099,0.12386698,0.09487332,0.15559117,0.08528547,0.16934933,0.27518776,0.18037987,0.09225787,0.3010562,0.15647139,0.21382494,0.23191957,0.31280422,0.09905687,0.23337868,0.11469112
atv,0.1476395,0.22532482,0.18668401,0.07255758,0.19243589,0.06784341,0.23771091,0.16238907,0.111174986,0.12438625,0.26582888,0.18523692,0.13814935,0.39495748,0.047603615,0.1826504,0.09728001,0.34710154,0.11725211,0.14842421
auc,0.56535923,0.035050835,0.04805791,0.039997704,0.031374156,0.34173256,0.11457854,0.07645058,0.07516786,0.41192985,0.3278578,0.21029107,0.17221244,0.028935622,0.040788267,0.09054502,0.31217209,0.26099545,0.046558507,0.25775582
aul,0.23446012,0.07354048,0.15123573,0.08251945,0.1487683,0.1906441,0.22463706,0.107675076,0.12509084,0.11666724,0.07792549,0.10705729,0.09092697,0.2095252,0.1783837,0.19624135,0.112911254,0.13292305,0.12578055,0.1777055
avp,0.10736509,0.0688387,0.13818213,0.08296341,0.056828074,0.054594822,0.1622406,0.08900849,0.10336072,0.15557534,0.06161196,0.15859108,0.0772447,0.23351455,0.28480804,0.04494586,0.13051368,0.110049054,0.1547924,0.1444587
awk,0.26231623,0.10254466,0.15622783,0.19084619,0.1306446,0.09015338,0.18908215,0.09815824,0.3031398,0.17941353,0.08369283,0.19262743,0.13949496,0.32310233,0.06798931,0.3253127,0.3083659,0.19532067,0.22479098,0.05387303
awp,0.07364909,0.16779177,0.09031637,0.09120166,0.056059733,0.14665192,0.119828485,0.2447696,0.2885174,0.07346216,0.18641149,0.12848279,0.14081134,0.101795636,0.093620375,0.14115931,0.118847474,0.11352731,0.10885016,0.14059956
awu,0.080248564,0.24275878,0.05852778,0.17631786,0.16966,0.042584017,0.10385457,0.08541477,0.061040543,0.060323633,0.13296524,0.10379797,0.09484987,0.22492923,0.077494934,0.04691347,0.10709542,0.10880129,0.047315568,0.28624618
axn,0.14669576,0.4125259,0.3040686,0.12426597,0.063530855,0.1021999,0.25044936,0.19183272,0.22217971,0.30081186,0.09494127,0.3246488,0.095362276,0.449509,0.2570752,0.11691828,0.3962869,0.22786441,0.38229713,0.23461588
axo,0.046285376,0.04459411,0.065357745,0.058120493,0.042787783,0.06114811,0.08224249,0.09159153,0.09043431,0.07448329,0.05692228,0.08107363,0.0837962,0.031044895,0.060356896,0.06474054,0.065848805,0.082208134,0.331222,0.037386134
axp,0.09121655,0.091401555,0.06915083,0.07983165,0.08020689,0.14702132,0.064120546,0.08422512,0.10749481,0.08616738,0.09689751,0.14213951,0.07782811,0.08708663,0.06970022,0.11275643,0.065297544,0.099946655,0.10926801,0.07823541
ayc,0.22684269,0.118866906,0.10367356,0.23942955,0.16785157,0.20413536,0.091983974,0.15115368,0.12999988,0.08978508,0.21536288,0.17764452,0.05596356,0.3034355,0.19285981,0.12952694,0.2046158,0.1252158,0.08163093,0.05787323
ayg,0.41351193,0.09999833,0.16414401,0.49804944,0.3391717,0.123772226,0.19765837,0.42685655,0.10882468,0.12487762,0.11602788,0.3765965,0.1781441,0.21670172,0.28494915,0.11561835,0.2263282,0.30945826,0.38073248,0.36757404
azb,0.20793131,0.17301857,0.20247166,0.2267176,0.25668404,0.28225255,0.13824335,0.21867238,0.18091929,0.09346818,0.21523643,0.1457386,0.08283549,0.13532934,0.13930228,0.22948003,0.10169245,0.22840796,0.13556111,0.19048819
azo,0.1910021,0.22447495,0.13086975,0.07983294,0.08200603,0.52078426,0.2077522,0.45332253,0.18234037,0.03465064,0.17013113,0.06976391,0.36385298,0.19341797,0.064369656,0.1416986,0.22925141,0.15026748,0.06895194,0.30348474
ban,0.24299261,0.27358952,0.2678795,0.21506661,0.12986681,0.06711185,0.069472305,0.2563001,0.096400216,0.23167184,0.13617311,0.2831236,0.30381373,0.24014103,0.21443859,0.1845785,0.054521684,0.17102636,0.21497825,0.13893643
bao,0.05865667,0.10817225,0.09591549,0.07167834,0.13711634,0.044981197,0.05495563,0.07001066,0.04743906,0.15944508,0.055001058,0.11560789,0.06441266,0.059228286,0.0580554,0.07786077,0.050253592,0.11411162,0.06334196,0.097752035
bar,0.099418744,0.07200141,0.095882036,0.021518707,0.06114263,0.15725376,0.105181396,0.041658953,0.04768764,0.026263801,0.036341902,0.073911525,0.048543375,0.09696213,0.04282327,0.028399777,0.10023323,0.06542998,0.040369082,0.06361152
bas,0.16490465,0.1669366,0.15753824,0.22666547,0.11341314,0.20974556,0.0689251,0.20055464,0.20321478,0.10659919,0.13355204,0.25893962,0.15744168,0.22698069,0.19980666,0.08665377,0.2470936,0.17005244,0.10440208,0.07572016
bbn,0.13346434,0.16895476,0.17199174,0.28717586,0.28067,0.14492007,0.3828738,0.11322095,0.1378231,0.16527179,0.15005243,0.032168478,0.048273906,0.26593807,0.09448825,0.10009813,0.3572321,0.3052507,0.44380134,0.099321194
bbt,0.055068612,0.05144688,0.14362955,0.13545765,0.31602153,0.18560514,0.0984023,0.072320834,0.1350187,0.16242206,0.5105582,0.08481551,0.20334727,0.18522951,0.19704372,0.11501144,0.057859644,0.18450074,0.2016317,0.26165023
bcf,0.076772146,0.12932518,0.116401404,0.03967483,0.123149425,0.12446003,0.32369003,0.19509298,0.082590446,0.07357941,0.60845447,0.09577182,0.31024504,0.1506107,0.09300181,0.24123707,0.09026987,0.17660764,0.18016744,0.08376193
bcg,0.19629651,0.16529454,0.15159796,0.22338487,0.093390256,0.19799785,0.14892301,0.17409775,0.18878624,0.17981696,0.189782,0.11673084,0.1686736,0.08740951,0.19435361,0.085138984,0.08966671,0.08820532,0.17706397,0.13873985
bci,0.27773386,0.2917232,0.27193743,0.24837849,0.3094796,0.13282296,0.12190754,0.15495574,0.11269437,0.18894866,0.1794681,0.17110933,0.07334714,0.3107603,0.15356475,0.26889622,0.08483803,0.23666199,0.27446878,0.105670676
bcj,0.12149522,0.08371468,0.082426526,0.13275057,0.058595836,0.093899876,0.13544886,0.040440544,0.10646495,0.17352003,0.09428195,0.112957604,0.10099533,0.07762077,0.07709378,0.062460862,0.09471244,0.113667645,0.06607386,0.067265466
bcn,0.22864467,0.06452292,0.20908025,0.5399896,0.2101586,0.11902871,0.47152224,0.28287983,0.33473414,0.2516613,0.08301045,0.43467095,0.36152646,0.26479045,0.63098574,0.17516032,0.18666099,0.22524023,0.13493824,0.31504187
bcw,0.1063865,0.1545974,0.02465111,0.15632996,0.112277366,0.15556405,0.2175091,0.18696706,0.1992677,0.13382578,0.07237322,0.08570767,0.17125468,0.09277028,0.04894767,0.05866542,0.13636489,0.24750662,0.17538254,0.21684888
bdv,0.31080323,0.113857,0.1339732,0.12190776,0.37463242,0.2793154,0.108481504,0.44887283,0.30765238,0.32325011,0.41176823,0.34622884,0.2783743,0.37495133,0.47777495,0.3945485,0.13323584,0.28072384,0.2912695,0.2937176
bep,0.15418833,0.16498925,0.094384916,0.2849641,0.15689495,0.13537446,0.16145612,0.330378,0.37054327,0.21869774,0.26162267,0.31518346,0.076955445,0.12803203,0.4088752,0.10663675,0.37283456,0.1484275,0.32487968,0.23887417
bew,0.090341166,0.14501995,0.029203283,0.15572786,0.06502485,0.06835756,0.037757523,0.24746133,0.13299325,0.081580594,0.1466875,0.15915139,0.10272221,0.16171037,0.16759682,0.22941767,0.21411994,0.14473999,0.08648938,0.13388273
bfc,0.04695807,0.15574747,0.068798855,0.1264495,0.08023234,0.16396691,0.102310315,0.08247161,0.10116811,0.11480996,0.13312037,0.049723472,0.03719606,0.052947637,0.04380343,0.33508915,0.041506514,0.04972367,0.05031903,0.12476921
bft,0.1452801,0.28001407,0.18124352,0.2861102,0.26116854,0.11115487,0.23644115,0.19015512,0.16989233,0.13631427,0.088338055,0.3022495,0.090942405,0.11088331,0.037197832,0.25594202,0.1836673,0.23719473,0.26152065,0.08376639
bfx,0.104213856,0.115616776,0.10216156,0.12798508,0.11466532,0.12384984,0.06643604,0.054204717,0.09964858,0.10258527,0.09866415,0.11432822,0.16776085,0.12512839,0.11581659,0.08344444,0.101842985,0.11324911,0.095659204,0.079807796
bhw,0.08847353,0.14915416,0.121450864,0.12731622,0.14686516,0.118820965,0.21123825,0.17606318,0.18259758,0.061135758,0.054909226,0.117396414,0.07629364,0.05131436,0.10632543,0.06289537,0.13452397,0.06691585,0.16432208,0.1282539
bim,0.057530735,0.06675147,0.048741978,0.06077724,0.1936115,0.042641167,0.068012945,0.09570852,0.19119126,0.058243472,0.08412221,0.053268783,0.3231929,0.05000244,0.06191417,0.03732409,0.053178206,0.053645678,0.066908255,0.07216771
bis,0.17852646,0.26043573,0.2168433,0.09218136,0.16074745,0.20488535,0.24785934,0.12644047,0.4489728,0.09581456,0.10155571,0.22226167,0.2859069,0.54853827,0.35997534,0.20816854,0.08909109,0.08873645,0.40592298,0.04563773
biu,0.0860708,0.10672219,0.5157947,0.13393018,0.08881177,0.26384747,0.20543249,0.08740763,0.4297442,0.16866866,0.108647,0.10378851,0.25372657,0.10922524,0.10452905,0.2281411,0.11372854,0.18325558,0.26160097,0.26664692
bjq,0.098590605,0.053554118,0.19854693,0.5075183,0.4770397,0.097301,0.3796723,0.11451914,0.32648438,0.4165736,0.14298692,0.49580756,0.32474712,0.121313594,0.14837483,0.15795405,0.17483881,0.26622695,0.31665677,0.21714784
bjr,0.25807846,0.119259715,0.24189974,0.135866,0.17788233,0.25608817,0.24751283,0.34852585,0.21220437,0.11893502,0.14836176,0.17738438,0.17560351,0.20447901,0.17252308,0.14033942,0.20170888,0.4824822,0.29978275,0.23995626
bkt,0.22408994,0.10044759,0.12344626,0.09155829,0.19260007,0.05480617,0.20359746,0.04729314,0.26671547,0.09569712,0.114130095,0.29850084,0.12946737,0.16107261,0.1227424,0.21527761,0.10112049,0.14223298,0.34390876,0.04523067
blg,0.1627487,0.17178246,0.09511496,0.069039896,0.1618013,0.104821354,0.18154423,0.16972384,0.12622005,0.1603237,0.12173219,0.12697515,0.11205338,0.123395965,0.11233391,0.15889259,0.14840889,0.13940963,0.10388501,0.08504437
blu,0.08572665,0.06477925,0.09067755,0.23358339,0.06063023,0.044364125,0.12380825,0.10135307,0.035917748,0.09427084,0.08274156,0.15847689,0.11940994,0.07874129,0.0814149,0.09378881,0.07424261,0.12729606,0.14932725,0.14878811
bmj,0.16294019,0.16483793,0.2093635,0.0530558,0.107787065,0.12786248,0.16270658,0.024605973,0.18568847,0.21799952,0.27816036,0.13514219,0.18682137,0.07650539,0.21646586,0.117282994,0.15027285,0.124501914,0.16229455,0.034736577
bmw,0.06393026,0.061009474,0.08090858,0.07443339,0.1806897,0.083546944,0.10613391,0.079252996,0.06968874,0.14905564,0.07971259,0.07644099,0.086663276,0.10204622,0.075905696,0.088755876,0.05818171,0.13095109,0.078226246,0.07806203
bni,0.18099476,0.059398763,0.11473861,0.1891551,0.15840107,0.22525765,0.24363162,0.10539511,0.039573517,0.038656563,0.048135843,0.05236548,0.13361779,0.078702465,0.14467186,0.22019325,0.03444217,0.06326166,0.20099875,0.21501948
bnm,0.29869607,0.40988815,0.21316433,0.063041955,0.10511468,0.08041077,0.120915785,0.09608061,0.21211734,0.13449903,0.26322892,0.40427193,0.11953546,0.08616762,0.08568278,0.074553,0.11155456,0.25172022,0.16157717,0.16181315
bos,0.15642521,0.15439099,0.13087869,0.14870298,0.14606157,0.06938191,0.21435487,0.12396289,0.116016366,0.14833069,0.12421627,0.108881205,0.07942522,0.12069228,0.104234874,0.14926901,0.15036544,0.20922452,0.15367925,0.0827916
bpg,0.07442756,0.25944585,0.018920371,0.13376431,0.13307367,0.09006016,0.106735,0.15479317,0.16826677,0.102381796,0.25219226,0.10546655,0.11352016,0.19725586,0.39372396,0.16625124,0.18212825,0.35274392,0.08913348,0.084842674
